id,file,line,section,severity,source_phase,runtime_status,owning_pack,row_class_or_scope,assertion,missing_evidence,evidence_artifact_status,message
buyer_activation_metric_canonical_consumer,Sourcera_Master_Spec.md,67432,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,content_consistency,spec_binding_pending_pack_m21_3,m21_3,post-build,§35.5.2 formula is single-sourced; every §51 / §42 / §50.14 dashboard queries via the canonical formula; no inline duplication anywhere — closes D-51-001,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
usage_dashboard_plan_gating_canonical_6_tier_consumer,Sourcera_Master_Spec.md,67435,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,content_consistency,spec_binding_pending_pack_m21_3,m21_3,post-build,§51.3.6 12-row enumeration matches §34.1 canonical 6-tier-per-console schema; no inline numerical literals duplicating §34.1 / §39; Solo rows cite §44.6.1 hide list — closes D-51-004 / -005 / -006 / -007,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
m16_same_domain_enforcement_dual_point_canonical,Sourcera_Master_Spec.md,67438,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,runtime_behavior + content_consistency,spec_binding_pending_pack_m02_3,m02_3,convex unit + post-build,Create-time validator runs IFF `referee_email` provided at create; signup-time safety net catches SSO-domain-divergence; both points emit `m16.referral.same_domain_blocked` with `enforcement_point ∈ Appendix J enum` — closes D-13V-004,tools/spec-lint/gates/m16_same_domain_enforcement_dual_point_canonical.ts,tools/spec-lint/gates/m16_same_domain_enforcement_dual_point_canonical.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/m16_same_domain_enforcement_dual_point_canonical.ts.
solo_tier_buyer_hero_moment_slo_single_source,Sourcera_Master_Spec.md,67445,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,content_consistency,spec_binding_pending_pack_m21_3,m21_3,post-build,Parity with seller-side gate; §35.5.5 AC #4 + §44.6.4.X — closes D-HM-002 sibling,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
dsar_erased_seller_excluded_from_recovery_cadence,Sourcera_Master_Spec.md,67447,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,runtime_behavior,spec_binding_pending_pack_m02_3,m02_3,convex unit + suppression-list join,§48.8.12 sweeper skips pseudonymized rows; audit row records skip — closes D-HM-006 sibling,tools/spec-lint/gates/dsar_erased_seller_excluded_from_recovery_cadence.ts,tools/spec-lint/gates/dsar_erased_seller_excluded_from_recovery_cadence.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/dsar_erased_seller_excluded_from_recovery_cadence.ts.
dsar_erased_buyer_excluded_from_recovery_cadence,Sourcera_Master_Spec.md,67448,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,runtime_behavior,spec_binding_pending_pack_m21_3,m21_3,convex unit,Parity with seller-side; §35.5.4 — closes D-HM-002 sibling,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
network_effects_dashboard_outage_render_contract,Sourcera_Master_Spec.md,67451,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,runtime_behavior,spec_binding_pending_pack_m02_3,m02_3,next.js render-path test,All four §48.3.8 render paths wired (PostHog / Snowflake / Datadog / composite) — closes D-48.3-009,tools/spec-lint/gates/network_effects_dashboard_outage_render_contract.ts,tools/spec-lint/gates/network_effects_dashboard_outage_render_contract.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/network_effects_dashboard_outage_render_contract.ts.
network_effects_residency_partition_canonical_consumer,Sourcera_Master_Spec.md,67452,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,runtime_behavior,spec_binding_pending_pack_m21_3,m21_3,terraform IaC + post-build,§48.3.9 partition contract implemented at PostHog routing + Snowflake partition + dashboard render — closes D-48.3-010,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
entitlement_matrix_registry_binding_completeness,Sourcera_Master_Spec.md,67485,M.5.14 v7.2.0-REM Phase 4 catalog additions (P0 Entitlement Registry) {#m-5-14-v72rem-phase-4-additions},blocker,meta_catalog_invariant,spec_binding_pending_pack_m11_3,m11_3,deploy_validator + pr_lint,"Deploy-time validator + PR-lint detector at `tools/spec-lint/entitlement_matrix_registry_binding.ts` (PR-lint half) and `convex/deploy_validators/entitlement_matrix_registry_binding.ts` (deploy-time half). Asserts a **bidirectional binding contract** between §34.8.5 Entitlement Matrix rows and §21.4 `CapabilityRegistryEntry` rows. Forward pass (§21.4 → §34.8.5): every `CapabilityRegistryEntry` row with `state ∈ {active, beta-on-rollout, deprecated-within-grace}` AND `billing_mode = customer_billed` AND `capability_id` does NOT match the family-root pattern `^[a-z_]+_family$` (the family-root rows are billing-ledger rollup display identifiers; never directly invokable; matrix rows are authored for the runtime-invokable siblings, not the rollup root — see §21.4.1.B cardinality contract) MUST have a §34.8.5 matrix row whose `capability_id` cell matches the registry `capability_id` OR matches an alias in `CapabilityRegistryEntry.aliases`. Reverse pass (§34.8.5 → §21.4): every `capability_id` cell in the §34.8.5 matrix MUST resolve to a `CapabilityRegistryEntry` row (any state) OR to one of the six registered exemption classes enumerated in §34.8.7 AC #6 (platform-internal aggregation; non-AI Security/Admin; non-AI Free-Forever Seller; non-AI Marketplace UI/API surfaces; non-AI Buyer `tco_modeling`; AE rows awaiting `AuthoredExtensionSignoff` activation). The exemption classifier is a closed-set predicate; additions require Pricing Owner + Engineering Lead dual-signoff per the row's `not_permitted_entitlement_registry_binding_integrity` override class. The forward-pass failure-mode code is `capability_registry_active_capability_missing_matrix_row` (registered in Appendix I v7.2.0-REM Phase 4 extension; HTTP 422 at deploy-validator path; `retryable=false`). The reverse-pass failure-mode code is `entitlement_matrix_unbound_capability_id` (registered in Appendix I v7.2.0-REM Phase 4 extension; HTTP 422 at deploy-validator path; `retryable=false`). The detector emits one structured rejection record per offending row with `direction ∈ {forward, reverse}`, `offending_capability_id`, `expected_binding_site`, `exemption_class_attempted` (nullable). Hardens §34.8.7 AC #6 from prose to a runtime-bindable gate; closes D-EM-001 P0 cleanly. The D-EM-002 / D-EM-003 / D-EM-004 P0 siblings remain open at the time this gate lands — the gate will detect each remaining reverse-pass orphan and fail-closed on the first deploy-validator run post-wiring, surfacing the full unbound set to the remediation owner.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
qa_suggestion_family_cardinality,Sourcera_Master_Spec.md,67486,M.5.14 v7.2.0-REM Phase 4 catalog additions (P0 Entitlement Registry) {#m-5-14-v72rem-phase-4-additions},blocker,runtime_property_test,spec_binding_pending_pack_m11_3,m11_3,runtime_test + pr_lint,"Runtime property test at `tests/integration/qa_suggestion_family_cardinality.spec.ts` (Convex test harness) + spec-tree lint at `tools/spec-lint/qa_suggestion_family_cardinality.ts`. Asserts the §21.4.1 family-rooted sibling-split contract for the `qa_suggestion_family` rollup root. Three sub-assertions: (a) **No direct invocation of the family root.** Every AIOperation write path (Convex mutation `aiOperations.create`; SDK route handler `POST /v1/agent/invoke`; Managed Agent invocation handler `POST /v1/agent/managed/invoke`) MUST reject any payload whose `capability_id == qa_suggestion_family` with HTTP 422 `capability_rollup_root_not_invokable` (Appendix I v7.2.0-REM Phase 4 extension). (b) **Exactly-one sibling per AIOperation.** No AIOperation row may carry a `capability_id` outside the registered sibling set `{qa_suggestion_buyer, qa_suggestion_seller}` while also carrying `capability_family == qa_suggestion`. (c) **Mutually-exclusive `console_applicability`.** The sibling rows' `console_applicability` arrays MUST be disjoint at deploy time (`qa_suggestion_buyer = [buyer]`; `qa_suggestion_seller = [seller]`); schema-validation rejects any drift. Property test runs on a synthetic 10k-row AIOperation write stream including 5% adversarial inputs (legacy-alias references, family-root references, cross-console invocations). Fail-closed on any sub-assertion violation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
qa_suggestion_family_outcome_contract_isolation,Sourcera_Master_Spec.md,67487,M.5.14 v7.2.0-REM Phase 4 catalog additions (P0 Entitlement Registry) {#m-5-14-v72rem-phase-4-additions},blocker,cross_feature_invariant,spec_binding_pending_pack_m11_3,m11_3,deploy_validator,"Deploy-time validator at `convex/deploy_validators/qa_suggestion_family_outcome_contract_isolation.ts`. Asserts the §21.4.1.B cross-validator: the two `qa_suggestion_*` siblings carry independent `outcome_contract_id` FKs, AND a contract-version bump on one sibling MUST NOT retroactively re-resolve in-flight operations on the other. Sub-assertions: (a) **FK independence.** `qa_suggestion_buyer.outcome_contract_id ≠ qa_suggestion_seller.outcome_contract_id` at deploy time. (b) **Per-sibling Outcome Resolver routing.** The §34.11 Outcome Resolver loads the OutcomeContract version active at the *AIOperation's* `created_at` per the per-sibling FK — NOT a family-level lookup. (c) **PostHog event-name aliasing integrity.** The legacy event name `agent.qa_suggestion.invoked` resolves to the seller-side sibling event name `agent.qa_suggestion_seller.invoked` at PostHog ingestion time; never to the buyer-side sibling. Validator runs at every PricingTableVersion publish + every OutcomeContract row mutation; fail-closed blocks deploy.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
kb_suggestion_family_cardinality,Sourcera_Master_Spec.md,67513,M.5.15 v7.2.0-REM Phase 4.2 catalog additions (P0 Entitlement Registry — D-EM-002 Closure + kb_suggestion Family-Rooted Sibling Split) {#m-5-15-v72rem-phase-4-2-additions},blocker,runtime_property_test,spec_binding_pending_pack_m11_3,m11_3,runtime_test + pr_lint,"Runtime property test at `tests/integration/kb_suggestion_family_cardinality.spec.ts` (Convex test harness) + spec-tree lint at `tools/spec-lint/kb_suggestion_family_cardinality.ts`. Asserts the §21.4.1.D family-rooted sibling-split contract for the `kb_suggestion_family` rollup root. Three sub-assertions: (a) **No direct invocation of the family root.** Every AIOperation write path MUST reject any payload whose `capability_id == kb_suggestion_family` with HTTP 422 `capability_rollup_root_not_invokable` (Appendix I v7.2.0-REM Phase 4 extension; same code re-used per the §4.8.2 AC #9 generalization). (b) **Exactly-one sibling per AIOperation.** No AIOperation row may carry a `capability_id` outside the registered sibling set `{kb_suggestion_buyer, kb_suggestion_seller}` while also carrying `capability_family == kb_suggestion`. (c) **Mutually-exclusive `console_applicability`.** The sibling rows' `console_applicability` arrays MUST be disjoint at deploy time (`kb_suggestion_buyer = [buyer]`; `kb_suggestion_seller = [seller]`); schema-validation rejects any drift. Property test runs on a synthetic 10k-row AIOperation write stream including 5% adversarial inputs (legacy `kb_suggestion` references, family-root references, cross-console invocations). Fail-closed on any sub-assertion violation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
kb_suggestion_family_outcome_contract_isolation,Sourcera_Master_Spec.md,67514,M.5.15 v7.2.0-REM Phase 4.2 catalog additions (P0 Entitlement Registry — D-EM-002 Closure + kb_suggestion Family-Rooted Sibling Split) {#m-5-15-v72rem-phase-4-2-additions},blocker,cross_feature_invariant,spec_binding_pending_pack_m11_3,m11_3,deploy_validator,"Deploy-time validator at `convex/deploy_validators/kb_suggestion_family_outcome_contract_isolation.ts`. Asserts the §21.4.1.D cross-validator: the two `kb_suggestion_*` siblings carry independent `outcome_contract_id` FKs, AND a contract-version bump on one sibling MUST NOT retroactively re-resolve in-flight operations on the other. Sub-assertions: (a) **FK independence.** `kb_suggestion_buyer.outcome_contract_id ≠ kb_suggestion_seller.outcome_contract_id` at deploy time. (b) **Per-sibling Outcome Resolver routing.** The §34.11 Outcome Resolver loads the OutcomeContract version active at the *AIOperation's* `created_at` per the per-sibling FK — NOT a family-level lookup. (c) **PostHog event-name aliasing integrity.** The legacy event name `agent.kb_suggestion.invoked` resolves to the appropriate console-disambiguated sibling event name (`agent.kb_suggestion_buyer.invoked` for buyer-console PostHog events; `agent.kb_suggestion_seller.invoked` for seller-console PostHog events) at PostHog ingestion time based on the event's `console` property; never to the family-root identifier. Validator runs at every PricingTableVersion publish + every OutcomeContract row mutation; fail-closed blocks deploy.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
kb_suggestion_alias_console_resolution_integrity,Sourcera_Master_Spec.md,67515,M.5.15 v7.2.0-REM Phase 4.2 catalog additions (P0 Entitlement Registry — D-EM-002 Closure + kb_suggestion Family-Rooted Sibling Split) {#m-5-15-v72rem-phase-4-2-additions},blocker,cross_feature_invariant,spec_binding_pending_pack_m11_3,m11_3,deploy_validator + runtime_test,"Deploy-time validator at `convex/deploy_validators/kb_suggestion_alias_console_resolution_integrity.ts` + runtime property test at `tests/integration/kb_suggestion_alias_console_resolution.spec.ts`. Asserts the §21.4.1.D Footnote A console-disambiguated alias-rewrite contract — a deliberate divergence from the §21.4.1.B `qa_suggestion_*` alias contract because the legacy `kb_suggestion` string had cross-console rate-card history before the D-EM-013 split and both consoles invoked it from v7.0.0 stamp onward. Three sub-assertions: (a) **Deterministic console-disambiguated rewrite.** A legacy `capability_id = kb_suggestion` invocation from a buyer-console session resolves to `kb_suggestion_buyer`; from a seller-console session, to `kb_suggestion_seller`. Runtime test fires 1,000 synthetic invocations from each console and asserts the routing distribution. (b) **Console-indeterminate rejection.** An invocation with no clear console context (a synthetic test scenario; not reachable in production per §7.2 firewall enforcement) is rejected with HTTP 422 `capability_alias_console_indeterminate` (new; Appendix I v7.2.0-REM Phase 4.2 extension). (c) **No family-root absorption.** No AIOperation row writes against the family-root `kb_suggestion_family` identifier when the legacy alias is invoked (verifying that the alias-rewrite resolver bypasses the rollup root, per the §21.4.1.D Row 1 contract that the rollup root's `aliases` array is empty). The validator inspects the alias-rewrite resolver's routing table at deploy time and asserts none of the legacy strings map to the family root. Fail-closed on any sub-assertion violation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
first_pass_rfp_draft_outcome_contract_isolation,Sourcera_Master_Spec.md,67539,M.5.16 v7.2.0-REM Phase 4.3 catalog additions (P0 Entitlement Registry — D-EM-003 Closure + first_pass_rfp_draft Per-Requirement Registry Row) {#m-5-16-v72rem-phase-4-3-additions},blocker,cross_feature_invariant,spec_binding_pending_pack_m11_3,m11_3,deploy_validator + runtime_test,"Deploy-time validator at `convex/deploy_validators/first_pass_rfp_draft_outcome_contract_isolation.ts` + runtime property test at `tests/integration/first_pass_rfp_draft_outcome_contract_isolation.spec.ts`. Asserts the §21.4.1.E shared-signal-name with independent-contract-rows pattern: `first_pass_rfp_draft` (per-requirement, Seller-Free customer-billed; registered at §21.4.1.E) and `first_pass_responses` (batch-of-100, Seller-Starter+, Managed Agent; registered at §21.4.2 row 3) share the OutcomeContract **signal name** `first_pass_rfp_draft` (the artifact class is identical — RFP draft text) but settle against **independent OutcomeContract rows** per §4.8.4 AC #1. Five sub-assertions: (a) **FK independence at deploy time.** `(SELECT outcome_contract_id FROM CapabilityRegistryEntry WHERE capability_id='first_pass_rfp_draft') ≠ (SELECT outcome_contract_id FROM CapabilityRegistryEntry WHERE capability_id='first_pass_responses')`. Deploy fails closed on equality. (b) **Per-row Outcome Resolver routing.** The §34.11 Outcome Resolver loads the OutcomeContract version active at the *AIOperation's* `created_at` per the per-row FK — NOT via signal-name lookup. The validator inspects the Outcome Resolver routing table and asserts the resolver indexes by `capability_id`, NOT by signal name. (c) **Contract-version isolation under bump.** A contract-version bump on `first_pass_responses` (e.g., changing accept threshold from 50% to 60%) MUST NOT retroactively re-resolve in-flight `first_pass_rfp_draft` operations. The validator runs a synthetic bump scenario at every `PricingTableVersion` publish and asserts the `first_pass_rfp_draft` OutcomeContract row's `version` is unchanged and that AIOperation rows with `capability_id='first_pass_rfp_draft'` and `settlement_state='pending'` retain their previously-resolved OutcomeContract FK. (d) **SellerOutcomeSignalConfig isolation.** The §4.8.13 `SellerOutcomeSignalConfig` is indexed by `capability_id`, not by signal name. The validator asserts that a SellerOutcomeSignalConfig override on the seller-side for `first_pass_responses` (e.g., raising `min_retention_threshold_pct` from 50 to 75 per the §4.8.13 row 9162 default) does NOT bleed into `first_pass_rfp_draft` resolution. (e) **PostHog event-name distinctness.** The AIOperation Usage Event PostHog stream MUST emit `agent.first_pass_rfp_draft.invoked` for §21.4.1.E invocations and `agent.first_pass_responses.invoked` for §21.4.2 row 3 batch invocations — distinct event names per the Appendix G v7.2.0-REM Phase 4.3 + Phase 14.x registrations; the events MUST NOT be aliased to a shared name despite the shared OutcomeContract signal name. Property test fires 1,000 synthetic invocations of each capability and asserts the PostHog ingestion routing. Fail-closed on any sub-assertion violation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
legal_entity_residency_change_revenue_leak_test,Sourcera_Master_Spec.md,67574,M.5.17 v7.2.0-REM Phase 5 catalog additions (P0 Residency & Legal-Entity Reconciliation — D-RES-004 Closure + Stripe Customer Atomic-Binding Protocol) {#m-5-17-v72rem-phase-5-additions},blocker,cross_feature_invariant,spec_binding_pending_pack_m24_3,m24_3,deploy_validator + runtime_test + synthetic_monitor,"Deploy-time validator at `convex/deploy_validators/legal_entity_residency_change_revenue_leak_test.ts` + runtime property test at `tests/integration/legal_entity_residency_change_revenue_leak_test.spec.ts` + Datadog synthetic monitor `legal_entity_residency_change_revenue_leak_monitor` evaluating every 5 minutes against the production Convex deployment. Asserts six sub-assertions covering the §34.10.5.A Stripe-Customer Atomic-Binding Protocol end-to-end: (a) **Canonical 4-value enforcement (write-time).** Convex schema validator rejects any AIOperation, AIWallet, AIWalletLedgerEntry, or MarketplaceDiscoveryRevenueRecord write with `legal_entity ∉ {sourcera_us_llc, sourcera_eu_gmbh, sourcera_apac_pte, sourcera_custom}`; the legacy value `sourcera_uk_ltd` MUST be rejected on new writes with HTTP 422 (or its Convex-validator equivalent). Synthetic test: 4 successful canonical writes + 1 rejected `sourcera_uk_ltd` write per entity type (= 20 synthetic writes total). (b) **Residency-change atomic transaction.** A synthetic Organization mutation transitioning `data_residency_region` from any canonical value to any other canonical value MUST execute the five-step transaction in §34.10.5.A invariant #3 in the specified order; any step failure rolls back the entire mutation; concurrent residency-change attempts on the same Org serialize via the row-level lock. Test fires 100 synthetic residency-change cycles with 10 concurrent-attempt scenarios; failure rate MUST be 0%. (c) **Stripe Customer 1:1 binding under unique index.** A second `Customer.create` attempt for the same `(org_id, legal_entity)` keyed Org-Customer pair MUST be rejected at the `Organization.stripe_customer_id_active` unique-index layer with HTTP 422 `stripe_customer_active_duplicate`. Synthetic test: 10 attempts to create a duplicate active Customer; all 10 MUST be rejected. (d) **Outcome Resolver legacy-legal-entity routing.** A synthetic AIOperation written with `legal_entity = sourcera_us_llc` settles against the pre-cutover Stripe Customer even after the Organization has rebinded to `sourcera_eu_gmbh` (per §34.10.5.A invariant #4 + AC #4). Test fires 50 synthetic AIOperations written pre-cutover and settled post-cutover; the resolver MUST route to `Organization.stripe_customer_id_historical[]` for the matching legal-entity entry. (e) **Historical `sourcera_uk_ltd` row read-fidelity.** A synthetic AIOperation row historically settled with `legal_entity = sourcera_uk_ltd` (seeded into the test database via the v7.0.0 pre-Phase-2V row simulator) MUST remain readable through Ops-Finance and Compliance projections; the Outcome Resolver MUST NOT mutate the row's `legal_entity` field; no new Stripe Customer assignment MUST be keyed off the legacy row. Test fires 25 synthetic legacy-row reads + 25 synthetic post-Phase-5 writes; legacy reads succeed, post-Phase-5 writes with `legal_entity = sourcera_uk_ltd` are rejected. (f) **`custom`-residency Org binding correctness.** A synthetic Organization with `data_residency_region = custom` + `custom_sovereign_residency_label = uk_crown_secure` MUST receive a Stripe Customer keyed on `(org_id, sourcera_custom)` with `metadata.custom_sovereign_residency_label = uk_crown_secure`; AC #14 (the deterministic mapping AC) MUST fire fail-open (the legitimate `custom` cohort is no longer blocked by the missing `custom → sourcera_custom` mapping row). Test fires 10 `custom`-residency Org-creation scenarios with 4 distinct `custom_sovereign_residency_label` values; all 10 MUST succeed with the correct Stripe Customer metadata. Fail-closed on any sub-assertion violation.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",.github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing,"Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
org_custom_residency_label_required,Sourcera_Master_Spec.md,67576,M.5.17 v7.2.0-REM Phase 5 catalog additions (P0 Residency & Legal-Entity Reconciliation — D-RES-004 Closure + Stripe Customer Atomic-Binding Protocol) {#m-5-17-v72rem-phase-5-additions},blocker,per_feature_gate,spec_binding_pending_pack_m11_3,m11_3,runtime_test,Runtime property test at `tests/integration/org_custom_residency_label_required.spec.ts`. Asserts that any Organization mutation setting `data_residency_region = custom` with `custom_sovereign_residency_label = null` is rejected at the §4.1.1 Organization-write layer with HTTP 422 `organization_custom_residency_label_required`. The test fires 20 synthetic Organization writes with `custom` residency + null label (all MUST be rejected) + 10 with `custom` + non-null label (all MUST succeed). Fail-closed on any sub-assertion violation.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_trial_one_per_org_lifetime,Sourcera_Master_Spec.md,67661,M.5.21 v7.2.0-REM P1 Solo trial additions (D-14.1-002 / D-14.2-002 closure) {#m-5-21-v72rem-p1-solo-trial-additions},blocker,cross_feature_invariant,spec_binding_pending_pack_m02_3,m02_3,pr_lint + deploy_validator,"Every accepted Solo migration `TrialState` is unique by `(org_id, console, legal_entity, trial_kind)`; accepts only eligible existing v2-cohort Free Orgs; active Solo migration trials suppress per-evaluation and per-bid charges; day-91 auto-downgrade emits `billing.plan.downgraded`, `billing.solo_trial.ended`, and `org.solo_trial_ended` atomically; fails closed on duplicate acceptance, missing Appendix C/G/J/I registration, or a Solo-trial plan change lacking `trial_state_id`.",tools/spec-lint/gates/solo_trial_one_per_org_lifetime.ts,tools/spec-lint/gates/solo_trial_one_per_org_lifetime.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/solo_trial_one_per_org_lifetime.ts.
solo_upgrade_cta_threshold_3_events_30d_subscription_immediate_per_eval_bid,Sourcera_Master_Spec.md,67671,M.5.22 v7.2.0-REM P1 Solo throttling upgrade-CTA additions (D-14.1-003 / D-14.2-003 closure) {#m-5-22-v72rem-p1-solo-throttling-upgrade-cta-additions},blocker,cross_feature_invariant,spec_binding_pending_pack_m02_3,m02_3,pr_lint + deploy_validator,"Subscription-mode Buyer/Seller Solo emits `billing.solo_upgrade_cta.triggered` only after ≥ 3 `solo.envelope.throttling_engaged` events in a rolling 30-day window per `(org_id, console)`; Buyer Solo per-evaluation emits on the first `solo.envelope.exhausted` event in the charged evaluation; Seller Solo per-bid emits on the first `solo.envelope.exhausted` event in the charged bid; target plans resolve to `business_starter` / `seller_starter`; CTA placement excludes the §44.6.4 throttling toast; payload excludes envelope values, costs, raw content, buyer/seller identity leakage, and per-capability spend. Fails closed on missing Appendix C/G/J registration or stale `upgrade_completed.trigger` attribution.",tools/spec-lint/gates/solo_upgrade_cta_threshold_3_events_30d_subscription_immediate_per_eval_bid.ts,tools/spec-lint/gates/solo_upgrade_cta_threshold_3_events_30d_subscription_immediate_per_eval_bid.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/solo_upgrade_cta_threshold_3_events_30d_subscription_immediate_per_eval_bid.ts.
